currier_language,token,share
A,chepcheol,8.733624454148471e-05
A,chepchey,8.733624454148471e-05
A,chepchy,8.733624454148471e-05
A,chepy,0.00017467248908296942
A,cher,0.00017467248908296942
A,ches,0.0004366812227074236
A,chesey,8.733624454148471e-05
A,chetaiin,8.733624454148471e-05
A,chetan,8.733624454148471e-05
A,chetar,8.733624454148471e-05
A,chetchaiin,8.733624454148471e-05
A,chetcho,8.733624454148471e-05
A,chetchy,0.00034934497816593884
A,chetody,8.733624454148471e-05
A,chety,0.0006986899563318777
A,chey,0.006812227074235808
A,cheyd,8.733624454148471e-05
A,cheykey,8.733624454148471e-05
A,cheys,8.733624454148471e-05
A,cheyty,8.733624454148471e-05
A,chforaiin,8.733624454148471e-05
A,chhy,8.733624454148471e-05
A,chiin,8.733624454148471e-05
A,chka,8.733624454148471e-05
A,chkaiin,0.0007860262008733624
A,chkain,8.733624454148471e-05
A,chkalar,8.733624454148471e-05
A,chkalchy,8.733624454148471e-05
A,chkaly,8.733624454148471e-05
A,chkam,8.733624454148471e-05
A,chkar,0.0005240174672489083
A,chkchean,8.733624454148471e-05
A,chkcheean,8.733624454148471e-05
A,chkchol,0.00017467248908296942
A,chkchory,8.733624454148471e-05
A,chkchy,0.0005240174672489083
A,chkdain,8.733624454148471e-05
A,chkeaiin,8.733624454148471e-05
A,chkear,8.733624454148471e-05
A,chkeeody,8.733624454148471e-05
A,chkeey,0.000611353711790393
A,chkeor,8.733624454148471e-05
A,chkey,0.00034934497816593884
A,chko,8.733624454148471e-05
A,chkodal,8.733624454148471e-05
A,chkol,0.00017467248908296942
A,chkoldy,0.00017467248908296942
A,chkor,8.733624454148471e-05
A,chkoy,8.733624454148471e-05
A,chky,0.00026200873362445414
A,chl,0.0005240174672489083
A,chlol,8.733624454148471e-05
A,chls,8.733624454148471e-05
A,cho,0.004279475982532751
A,choaiin,0.00017467248908296942
A,choar,8.733624454148471e-05
A,chocfhhg,8.733624454148471e-05
A,chocfhor,8.733624454148471e-05
A,chochar,8.733624454148471e-05
A,chochor,0.00017467248908296942
A,chochy,0.00034934497816593884
A,chockhar,8.733624454148471e-05
A,chockhey,0.00034934497816593884
A,chockhhor,8.733624454148471e-05
A,chockhhy,8.733624454148471e-05
A,chockhol,8.733624454148471e-05
A,chockhor,8.733624454148471e-05
A,chockhy,0.0010480349344978166
A,chocphor,8.733624454148471e-05
A,chocphy,0.00017467248908296942
A,choct,0.00017467248908296942
A,chocthey,0.0004366812227074236
A,chocthody,8.733624454148471e-05
A,chocthy,0.0010480349344978166
A,chocty,8.733624454148471e-05
A,chod,0.0005240174672489083
A,chodaiin,0.002445414847161572
A,chodaiindy,8.733624454148471e-05
A,chodain,0.00034934497816593884
A,chodair,0.00017467248908296942
A,chodal,8.733624454148471e-05
A,chodalg,8.733624454148471e-05
A,chodaly,0.00026200873362445414
A,chodam,8.733624454148471e-05
A,chodar,0.000611353711790393
A,chodchy,0.00017467248908296942
A,choddal,8.733624454148471e-05
A,chodey,0.00017467248908296942
A,chodl,8.733624454148471e-05
A,chodo,8.733624454148471e-05
A,chodol,0.00017467248908296942
A,chodoldy,8.733624454148471e-05
A,chodr,8.733624454148471e-05
A,chody,0.0038427947598253277
A,chodykchy,8.733624454148471e-05
A,chodys,8.733624454148471e-05
A,choeee,8.733624454148471e-05
A,choeees,8.733624454148471e-05
A,choees,8.733624454148471e-05
A,choeesy,8.733624454148471e-05
A,choeey,8.733624454148471e-05
A,choek,8.733624454148471e-05
A,choeky,8.733624454148471e-05
A,choety,8.733624454148471e-05
A,chof,8.733624454148471e-05
A,chofaly,8.733624454148471e-05
A,chofary,8.733624454148471e-05
A,chofchody,8.733624454148471e-05
A,chofchol,8.733624454148471e-05
A,chofchy,0.00017467248908296942
A,chofol,8.733624454148471e-05
A,chofy,8.733624454148471e-05
A,chofydy,8.733624454148471e-05
A,choiin,0.0011353711790393012
A,chok,0.00026200873362445414
A,chokaiin,0.0006986899563318777
A,chokain,0.00026200873362445414
A,chokal,0.00034934497816593884
A,chokaly,8.733624454148471e-05
A,chokam,0.00026200873362445414
A,chokan,0.00017467248908296942
A,chokar,8.733624454148471e-05
A,chokaro,8.733624454148471e-05
A,chokchaiin,8.733624454148471e-05
A,chokcheey,8.733624454148471e-05
A,chokcheo,8.733624454148471e-05
A,chokchey,0.00017467248908296942
A,chokcho,0.00017467248908296942
A,chokchodaiin,8.733624454148471e-05
A,chokchol,0.00034934497816593884
A,chokchor,8.733624454148471e-05
A,chokchy,0.0011353711790393012
A,chokeeo,8.733624454148471e-05
A,chokeeodol,8.733624454148471e-05
A,chokeeody,0.00017467248908296942
A,chokeeoky,8.733624454148471e-05
A,chokeeor,8.733624454148471e-05
A,chokeey,0.0004366812227074236
A,chokeo,0.00017467248908296942
A,chokeody,0.00026200873362445414
A,chokeol,0.00017467248908296942
A,chokeor,8.733624454148471e-05
A,chokeos,8.733624454148471e-05
A,chokesey,8.733624454148471e-05
A,chokey,0.0005240174672489083
A,choko,0.00017467248908296942
A,chokoaiin,8.733624454148471e-05
A,chokody,0.00017467248908296942
A,chokoiin,8.733624454148471e-05
A,chokoishe,8.733624454148471e-05
A,chokokor,8.733624454148471e-05
A,chokol,0.00026200873362445414
A,chokoldy,8.733624454148471e-05
A,chokolg,8.733624454148471e-05
A,chokor,0.00026200873362445414
A,chokoran,8.733624454148471e-05
A,chokshchy,8.733624454148471e-05
A,chokshor,8.733624454148471e-05
A,chokshy,8.733624454148471e-05
A,choksy,8.733624454148471e-05
A,choky,0.0022707423580786024
A,chokyt,8.733624454148471e-05
A,chol,0.02445414847161572
A,cholaiin,0.00026200873362445414
A,cholal,8.733624454148471e-05
A,cholaly,8.733624454148471e-05
A,cholar,8.733624454148471e-05
A,cholchaiin,8.733624454148471e-05
A,choldaiin,8.733624454148471e-05
A,choldal,8.733624454148471e-05
A,choldar,8.733624454148471e-05
A,choldchy,8.733624454148471e-05
A,choldshy,8.733624454148471e-05
A,choldy,0.0006986899563318777
A,cholfy,8.733624454148471e-05
A,cholkar,8.733624454148471e-05
A,cholkcheol,8.733624454148471e-05
A,cholkeedy,8.733624454148471e-05
A,cholkeey,8.733624454148471e-05
A,cholo,8.733624454148471e-05
A,cholody,0.00034934497816593884
A,cholol,0.00017467248908296942
A,chololer,8.733624454148471e-05
A,cholols,0.00017467248908296942
A,chololy,8.733624454148471e-05
A,cholor,0.00017467248908296942
A,cholp,8.733624454148471e-05
A,cholraly,8.733624454148471e-05
A,chols,0.00017467248908296942
A,cholsho,8.733624454148471e-05
A,choltaiin,8.733624454148471e-05
A,choltaly,8.733624454148471e-05
A,choltam,8.733624454148471e-05
A,choly,0.0009606986899563319
A,chom,0.0013100436681222707
A,chon,8.733624454148471e-05
A,choo,8.733624454148471e-05
A,chool,8.733624454148471e-05
A,choor,0.00017467248908296942
A,chop,8.733624454148471e-05
A,chopchal,8.733624454148471e-05
A,chopcheey,8.733624454148471e-05
A,chopcho,8.733624454148471e-05
A,chopchol,8.733624454148471e-05
A,chopchy,0.00017467248908296942
A,chopdain,8.733624454148471e-05
A,chopol,8.733624454148471e-05
A,chopy,0.00026200873362445414
A,chor,0.01589519650655022
A,choraiin,0.00026200873362445414
A,chorain,8.733624454148471e-05
A,choraly,8.733624454148471e-05
A,chorcholsal,8.733624454148471e-05
A,chorchy,8.733624454148471e-05
A,chordom,8.733624454148471e-05
A,chordy,0.00017467248908296942
A,choro,8.733624454148471e-05
A,chorochy,8.733624454148471e-05
A,chorody,8.733624454148471e-05
A,choroiin,8.733624454148471e-05
A,chorol,8.733624454148471e-05
A,chorom,8.733624454148471e-05
A,choror,0.00026200873362445414
A,choross,8.733624454148471e-05
A,chory,0.0009606986899563319
A,chos,0.0020087336244541485
A,chosaiin,0.00017467248908296942
A,chosals,8.733624454148471e-05
A,chosar,8.733624454148471e-05
A,chosaroshol,8.733624454148471e-05
A,choschy,8.733624454148471e-05
A,choshy,0.00026200873362445414
A,chosory,8.733624454148471e-05
A,chosy,8.733624454148471e-05
A,chot,0.00026200873362445414
A,chotaiin,0.0005240174672489083
A,chotain,8.733624454148471e-05
A,chotais,8.733624454148471e-05
A,chotam,0.00017467248908296942
A,chotar,0.00026200873362445414
A,chotcheey,8.733624454148471e-05
A,chotcheol,8.733624454148471e-05
A,chotchey,0.00026200873362445414
A,chotcheytchol,8.733624454148471e-05
A,chotcho,8.733624454148471e-05
A,chotchody,8.733624454148471e-05
A,chotchol,8.733624454148471e-05
A,chotchy,0.0009606986899563319
A,choteeen,8.733624454148471e-05
A,choteeey,8.733624454148471e-05
A,choteey,8.733624454148471e-05
A,choteol,0.00017467248908296942
A,chotey,0.00026200873362445414
A,choto,0.00017467248908296942
A,chotody,8.733624454148471e-05
A,chotol,0.0004366812227074236
A,chotols,0.00026200873362445414
A,chotom,0.00017467248908296942
A,chotor,0.00034934497816593884
A,chots,8.733624454148471e-05
A,chotshol,0.00017467248908296942
A,chotshy,8.733624454148471e-05
A,choty,0.0019213973799126639
A,chotyokchy,8.733624454148471e-05
A,choy,0.0009606986899563319
A,chpady,8.733624454148471e-05
A,chpal,8.733624454148471e-05
A,chpcheos,8.733624454148471e-05
A,chpchey,8.733624454148471e-05
A,chpchol,8.733624454148471e-05
A,chr,0.00026200873362445414
A,chrky,8.733624454148471e-05
A,chs,0.0008733624454148472
A,chschsa,8.733624454148471e-05
A,chsea,8.733624454148471e-05
A,chseeor,8.733624454148471e-05
A,chsey,8.733624454148471e-05
A,chshol,8.733624454148471e-05
A,chshoty,8.733624454148471e-05
A,chshy,8.733624454148471e-05
A,chsm,8.733624454148471e-05
A,chso,8.733624454148471e-05
A,chtaem,8.733624454148471e-05
A,chtaiin,8.733624454148471e-05
A,chtain,8.733624454148471e-05
A,chtaldy,8.733624454148471e-05
A,chtar,8.733624454148471e-05
A,chtchey,8.733624454148471e-05
A,chtchor,8.733624454148471e-05
A,chtchy,8.733624454148471e-05
A,chtchyf,8.733624454148471e-05
A,chteeor,8.733624454148471e-05
A,chteor,8.733624454148471e-05
A,chtod,8.733624454148471e-05
A,chtodaiin,8.733624454148471e-05
A,chtody,0.00017467248908296942
A,chtoiin,8.733624454148471e-05
A,chtoithy,8.733624454148471e-05
A,chtol,0.00017467248908296942
A,chtols,8.733624454148471e-05
A,chtor,0.00017467248908296942
A,chtshar,8.733624454148471e-05
A,chtshy,8.733624454148471e-05
A,chty,0.000611353711790393
A,chy,0.008995633187772925
A,chyd,8.733624454148471e-05
A,chydy,8.733624454148471e-05
A,chykald,8.733624454148471e-05
A,chykar,8.733624454148471e-05
A,chykchy,0.00017467248908296942
A,chykey,0.00017467248908296942
A,chyky,0.0004366812227074236
A,chypaldy,8.733624454148471e-05
A,chypcham,8.733624454148471e-05
A,chypchy,8.733624454148471e-05
A,chyqo,8.733624454148471e-05
A,chyt,8.733624454148471e-05
A,chytaroiin,8.733624454148471e-05
A,chytchy,8.733624454148471e-05
A,chyty,0.00026200873362445414
A,ck,0.00017467248908296942
A,ckaiin,8.733624454148471e-05
A,ckcheey,8.733624454148471e-05
A,ckcho,8.733624454148471e-05
A,ckchol,8.733624454148471e-05
A,ckey,8.733624454148471e-05
A,ckhaiin,0.00026200873362445414
A,ckhal,0.00017467248908296942
A,ckham,0.00026200873362445414
A,ckhar,0.00017467248908296942
A,ckhear,8.733624454148471e-05
A,ckheckhy,8.733624454148471e-05
A,ckheeey,8.733624454148471e-05
A,ckheeody,8.733624454148471e-05
A,ckheeol,8.733624454148471e-05
A,ckheey,0.0007860262008733624
A,ckheo,0.00026200873362445414
A,ckheod,8.733624454148471e-05
A,ckheodar,8.733624454148471e-05
A,ckheody,0.0004366812227074236
A,ckheokey,8.733624454148471e-05
A,ckheol,0.0005240174672489083
A,ckheor,8.733624454148471e-05
A,ckheos,0.00017467248908296942
A,ckhey,0.002445414847161572
A,ckhhy,0.00026200873362445414
A,ckho,0.00026200873362445414
A,ckhochy,8.733624454148471e-05
A,ckhocthy,8.733624454148471e-05
A,ckhod,8.733624454148471e-05
A,ckhody,0.00034934497816593884
A,ckhoiin,8.733624454148471e-05
A,ckhol,0.0017467248908296944
A,ckholdy,8.733624454148471e-05
A,ckholsy,8.733624454148471e-05
A,ckholy,8.733624454148471e-05
A,ckhoor,8.733624454148471e-05
A,ckhor,0.0006986899563318777
A,ckhory,8.733624454148471e-05
A,ckhos,0.00026200873362445414
A,ckhoy,8.733624454148471e-05
A,ckhs,8.733624454148471e-05
A,ckhy,0.002532751091703057
A,ckhydom,8.733624454148471e-05
A,ckhyds,8.733624454148471e-05
A,ckooaiin,8.733624454148471e-05
A,cky,0.00017467248908296942
A,co,8.733624454148471e-05
A,coain,8.733624454148471e-05
A,coeky,8.733624454148471e-05
A,coy,8.733624454148471e-05
A,cphaiin,0.0005240174672489083
A,cphain,8.733624454148471e-05
A,cphal,8.733624454148471e-05
A,cphaldy,8.733624454148471e-05
A,cphar,0.00026200873362445414
A,cpharom,8.733624454148471e-05
A,cphary,8.733624454148471e-05
A,cphchar,8.733624454148471e-05
A,cphdaithy,8.733624454148471e-05
A,cphealy,8.733624454148471e-05
A,cpheckhy,0.00017467248908296942
A,cpheeaiin,8.733624454148471e-05
A,cpheey,8.733624454148471e-05
A,cpheo,8.733624454148471e-05
A,cpheocthy,8.733624454148471e-05
A,cpheodaiin,8.733624454148471e-05
A,cpheodar,8.733624454148471e-05
A,cpheodor,8.733624454148471e-05
A,cpheody,0.00017467248908296942
A,cpheol,0.00026200873362445414
A,cpheor,0.00026200873362445414
A,cpheos,8.733624454148471e-05
A,cphesaiin,8.733624454148471e-05
A,cphey,0.00034934497816593884
A,cpheyr,8.733624454148471e-05
A,cpho,0.00017467248908296942
A,cphoaiin,8.733624454148471e-05
A,cphoal,8.733624454148471e-05
A,cphoar,8.733624454148471e-05
A,cphod,8.733624454148471e-05
A,cphodaiils,8.733624454148471e-05
A,cphodal,8.733624454148471e-05
A,cphodales,8.733624454148471e-05
A,cphodar,8.733624454148471e-05
A,cphodol,8.733624454148471e-05
A,cphody,8.733624454148471e-05
A,cphoeedol,8.733624454148471e-05
A,cphokchol,8.733624454148471e-05
A,cphol,0.0010480349344978166
A,cpholdy,0.00017467248908296942
A,cphom,8.733624454148471e-05
A,cphor,0.0004366812227074236
A,cphorods,8.733624454148471e-05
A,cphoy,0.00017467248908296942
A,cphy,0.0008733624454148472
A,cphydy,8.733624454148471e-05
A,cpy,8.733624454148471e-05
A,csees,8.733624454148471e-05
A,cshe,8.733624454148471e-05
A,csol,8.733624454148471e-05
A,ct,0.0008733624454148472
A,ctchey,8.733624454148471e-05
A,ctchy,0.00017467248908296942
A,ctey,8.733624454148471e-05
A,cth,0.0004366812227074236
A,ctha,8.733624454148471e-05
A,cthachcthy,8.733624454148471e-05
A,cthaichar,8.733624454148471e-05
A,cthaiin,0.0011353711790393012
A,cthaildy,8.733624454148471e-05
A,cthain,0.00034934497816593884
A,cthal,0.0005240174672489083
A,ctham,8.733624454148471e-05
A,cthan,8.733624454148471e-05
A,cthar,0.0014847161572052402
A,cthchy,0.00017467248908296942
A,cthckeom,8.733624454148471e-05
A,cthd,8.733624454148471e-05
A,cthdaoto,8.733624454148471e-05
A,cthdeecthy,8.733624454148471e-05
A,cthear,8.733624454148471e-05
A,cthedy,8.733624454148471e-05
A,ctheea,8.733624454148471e-05
A,ctheees,8.733624454148471e-05
A,ctheen,8.733624454148471e-05
A,cthees,8.733624454148471e-05
A,ctheey,0.0008733624454148472
A,ctheo,8.733624454148471e-05
A,ctheockhosho,8.733624454148471e-05
A,ctheod,0.00017467248908296942
A,ctheodal,8.733624454148471e-05
A,ctheodody,8.733624454148471e-05
A,ctheody,0.0005240174672489083
A,ctheol,0.0007860262008733624
A,ctheoly,8.733624454148471e-05
A,ctheor,0.0004366812227074236
A,ctheos,8.733624454148471e-05
A,ctheotol,8.733624454148471e-05
A,cthes,0.00017467248908296942
A,cthey,0.003406113537117904
A,cthhy,8.733624454148471e-05
A,cthl,8.733624454148471e-05
A,ctho,0.0013100436681222707
A,cthoary,8.733624454148471e-05
A,cthochy,8.733624454148471e-05
A,cthod,0.00034934497816593884
A,cthodaiin,8.733624454148471e-05
A,cthodaiis,8.733624454148471e-05
A,cthodaim,8.733624454148471e-05
A,cthodal,0.00017467248908296942
A,cthodam,8.733624454148471e-05
A,cthodar,8.733624454148471e-05
A,cthodd,8.733624454148471e-05
A,cthodoaly,8.733624454148471e-05
A,cthodol,0.00017467248908296942
A,cthody,0.0013973799126637554
A,cthog,8.733624454148471e-05
A,cthoiin,0.00017467248908296942
A,cthol,0.004890829694323144
A,cthold,8.733624454148471e-05
A,ctholdar,8.733624454148471e-05
A,ctholdg,8.733624454148471e-05
A,ctholdy,8.733624454148471e-05
A,ctholo,8.733624454148471e-05
A,cthols,0.00017467248908296942
A,ctholy,0.00034934497816593884
A,cthom,0.0007860262008733624
A,cthoo,8.733624454148471e-05
A,cthoor,8.733624454148471e-05
A,cthor,0.003668122270742358
A,cthoral,8.733624454148471e-05
A,cthorchy,8.733624454148471e-05
A,cthory,0.00017467248908296942
A,cthos,8.733624454148471e-05
A,cthoshol,8.733624454148471e-05
A,cthosm,8.733624454148471e-05
A,cthosy,8.733624454148471e-05
A,cthres,8.733624454148471e-05
A,cths,8.733624454148471e-05
A,cthscthain,8.733624454148471e-05
A,cthy,0.008820960698689956
A,cthyaiin,8.733624454148471e-05
A,cthyd,8.733624454148471e-05
A,cto,8.733624454148471e-05
A,ctoiin,8.733624454148471e-05
A,ctol,8.733624454148471e-05
A,cty,0.00017467248908296942
A,cy,8.733624454148471e-05
A,d,0.002707423580786026
A,da,0.0004366812227074236
A,dachy,8.733624454148471e-05
A,dady,0.00017467248908296942
A,daicthy,8.733624454148471e-05
A,daid,8.733624454148471e-05
A,daiidal,8.733624454148471e-05
A,daiidy,0.00026200873362445414
A,daiiin,0.0008733624454148472
A,daiiine,8.733624454148471e-05
A,daiiirchy,8.733624454148471e-05
A,daiiithy,8.733624454148471e-05
A,daiild,8.733624454148471e-05
A,daiildy,8.733624454148471e-05
A,daiim,0.00034934497816593884
A,daiin,0.04471615720524017
A,daiindy,8.733624454148471e-05
A,daiino,8.733624454148471e-05
A,daiinol,8.733624454148471e-05
A,daiiny,8.733624454148471e-05
A,daiioam,8.733624454148471e-05
A,daiiody,8.733624454148471e-05
A,daiiol,8.733624454148471e-05
A,daiir,0.000611353711790393
A,daiirol,8.733624454148471e-05
A,daiiry,8.733624454148471e-05
A,daiis,8.733624454148471e-05
A,daiity,8.733624454148471e-05
A,daiiy,8.733624454148471e-05
A,daikam,8.733624454148471e-05
A,daikeody,8.733624454148471e-05
A,dail,8.733624454148471e-05
A,daim,0.0005240174672489083
A,daimd,8.733624454148471e-05
A,daimm,8.733624454148471e-05
A,daimom,8.733624454148471e-05
A,dain,0.008122270742358079
A,dainaldy,8.733624454148471e-05
A,daind,8.733624454148471e-05
A,daing,8.733624454148471e-05
