currier_language,token,count
A,daiildy,1
A,daiim,4
A,daiin,512
A,daiindy,1
A,daiino,1
A,daiinol,1
A,daiiny,1
A,daiioam,1
A,daiiody,1
A,daiiol,1
A,daiir,7
A,daiirol,1
A,daiiry,1
A,daiis,1
A,daiity,1
A,daiiy,1
A,daikam,1
A,daikeody,1
A,dail,1
A,daim,6
A,daimd,1
A,daimm,1
A,daimom,1
A,dain,93
A,dainaldy,1
A,daind,1
A,daing,1
A,dainl,1
A,dainod,1
A,dainor,1
A,dair,40
A,dairair,1
A,dairal,1
A,daird,1
A,dairin,3
A,dairl,2
A,dairo,3
A,dairodg,1
A,dairy,2
A,dais,3
A,daisin,1
A,daisn,1
A,dait,1
A,dakocth,1
A,daky,1
A,dal,85
A,dala,1
A,dalal,1
A,dalaldam,1
A,dalam,1
A,dalar,3
A,dalas,1
A,dalchdy,1
A,dalchor,1
A,dalchy,2
A,dald,1
A,daldaiin,3
A,daldal,1
A,daldalol,1
A,daldy,7
A,dalg,1
A,dalody,1
A,dalol,1
A,dalols,1
A,dalor,4
A,dalory,1
A,dals,3
A,dalshdy,1
A,dalsy,1
A,daly,7
A,dalychs,1
A,dalydal,1
A,dam,47
A,damo,3
A,dan,17
A,daor,1
A,dar,96
A,daraiiin,1
A,daraiin,1
A,daraiinm,1
A,daral,1
A,darala,1
A,daraly,1
A,daram,1
A,daramdal,1
A,darams,1
A,darar,2
A,dararda,1
A,darcheos,1
A,darchor,1
A,dardsh,1
A,dardy,1
A,dareky,1
A,darodsf,1
A,darody,1
A,darolaly,1
A,darolm,1
A,darom,1
A,daror,1
A,darshody,1
A,dary,6
A,das,2
A,dasady,1
A,dasain,1
A,dayty,1
A,dchaiin,4
A,dchain,1
A,dchairam,1
A,dchal,1
A,dcham,1
A,dchar,4
A,dchchy,1
A,dchckhy,3
A,dchcthy,1
A,dchd,1
A,dchdy,1
A,dcheaiin,1
A,dcheeckhos,1
A,dcheecthey,1
A,dcheeey,1
A,dcheeol,1
A,dcheey,5
A,dcheo,4
A,dcheocy,1
A,dcheodaiin,1
A,dcheodain,1
A,dcheody,1
A,dcheoky,1
A,dcheol,1
A,dcheor,3
A,dcheos,1
A,dcheoteos,1
A,dchey,11
A,dchir,1
A,dchm,1
A,dcho,5
A,dchod,1
A,dchodaiin,2
A,dchody,1
A,dchog,2
A,dchokchy,3
A,dchol,19
A,dcholdy,1
A,dcholy,1
A,dchom,1
A,dchor,23
A,dchorol,1
A,dchos,1
A,dchoty,1
A,dchschy,1
A,dchsy,1
A,dchy,25
A,dchyd,1
A,dchydy,1
A,dchytchy,1
A,dck,1
A,dcthody,1
A,dcthy,1
A,dd,1
A,ddor,2
A,ddy,2
A,deaiin,1
A,ded,1
A,dedloy,1
A,deeaiir,1
A,deeamshol,1
A,deeeese,1
A,deeeod,1
A,deees,1
A,deeey,1
A,deeo,1
A,deeocthey,1
A,deeor,2
A,deey,4
A,dein,1
A,deody,1
A,deol,1
A,desey,1
A,dey,1
A,dg,1
A,diiiin,1
A,diiin,1
A,diil,1
A,dkeeor,1
A,dkol,1
A,dksheey,1
A,dkshy,1
A,dky,1
A,dl,3
A,dloct,1
A,dlod,1
A,dlos,1
A,dls,1
A,dlssho,1
A,dly,1
A,do,13
A,doaiin,2
A,doal,1
A,dochod,1
A,dockhy,1
A,dod,1
A,dodaiin,1
A,dodar,1
A,dody,3
A,doeeeesm,1
A,doeey,1
A,doefshey,1
A,doeoeas,1
A,doiiin,2
A,doiin,14
A,doiir,6
A,doiiram,1
A,doiisaly,1
A,doikhy,1
A,doin,2
A,dokor,1
A,doky,1
A,dol,63
A,dolar,1
A,dolary,1
A,dolchds,1
A,dolcheey,1
A,dolchey,2
A,dolchoy,1
A,dolchsyckheol,1
A,dold,1
A,doldaiin,2
A,doldam,1
A,doldom,1
A,dolds,1
A,doldy,1
A,doleeey,1
A,doleodaiin,1
A,dolo,1
A,dolody,1
A,dolsain,1
A,dolshy,1
A,doly,2
A,dom,7
A,dor,51
A,dorain,1
A,doral,1
A,dorar,1
A,dorchory,1
A,dordod,1
A,dorean,1
A,dorg,1
A,dorl,1
A,dorody,1
A,doroiin,2
A,doror,1
A,dorsheoy,1
A,dory,4
A,dos,1
A,doteoda,1
A,dotody,1
A,doty,1
A,dpchy,2
A,dralas,1
A,ds,3
A,dscheey,1
A,dsh,1
A,dshaly,1
A,dshcheal,1
A,dshe,2
A,dsheeor,1
A,dsheey,2
A,dsheody,1
A,dsheog,1
A,dsheol,2
A,dsheor,3
A,dsheos,1
A,dshey,4
A,dsho,9
A,dshodal,1
A,dshodar,1
A,dshody,2
A,dshol,1
A,dsholdy,1
A,dsholy,1
A,dshor,11
A,dshoy,1
A,dshy,7
A,dso,1
A,dtchan,1
A,dteodoiin,1
A,dtoaiin,1
A,dtor,1
A,dtshol,1
A,dy,124
A,dychear,1
A,dychokchy,1
A,dydain,1
A,dydariin,1
A,dydchy,1
A,dydy,2
A,dydyd,1
A,dydydy,1
A,dyeees,1
A,dykaiin,2
A,dykchal,1
A,dykchy,2
A,dykeor,1
A,dyky,2
A,dyotyds,1
A,dypchy,1
A,dys,1
A,dytal,1
A,dytchor,1
A,dytchy,2
A,dytoly,1
A,dytory,1
A,dyty,1
A,e,3
A,eair,1
A,ealam,1
A,eddy,1
A,eear,1
A,eeckhy,1
A,eeeey,1
A,eeeokor,1
A,eeeoly,1
A,eees,2
A,eeey,1
A,een,1
A,eeor,3
A,eeos,1
A,eeoseeos,1
A,ees,2
A,eesos,1
A,eey,2
A,ekchey,1
A,ekchody,1
A,ekey,1
A,ekokeey,1
A,ekshy,1
A,el,1
A,eo,2
A,eocthy,1
A,eol,1
A,eor,1
A,eosaiin,1
A,esechor,1
A,esedy,1
A,etaiin,1
A,etchal,1
A,etcheody,1
A,eteeys,1
A,eteor,1
A,etodaiin,1
A,etodaithey,1
A,etolctheol,1
A,etsees,1
A,ety,3
A,etyd,1
A,f,2
A,fachys,1
A,faiir,1
A,faiis,1
A,far,1
A,fcheody,2
A,fcheolain,1
A,fcheos,1
A,fchey,1
A,fcho,1
A,fchochor,1
A,fchodaiin,1
A,fchodees,1
A,fchodycheol,1
A,fchoiin,1
A,fchokshy,1
A,fchol,3
A,fcholdy,2
A,fcholy,1
A,fchom,1
A,fchoy,1
A,fchy,1
A,foar,2
A,fochof,1
A,fochor,1
A,fodaiin,1
A,fodan,1
A,fol,1
A,folcfhhy,1
A,folchol,1
A,fold,1
A,foldaiin,1
A,folr,1
A,folshody,1
A,fshodchy,1
A,fshody,1
A,fsholom,1
A,fshor,1
A,g,7
A,gaiin,1
A,hol,1
A,hr,1
A,iiincheom,1
A,iin,1
A,ikheeos,1
A,k,2
A,ka,2
A,kaiiidal,1
A,kaiiin,1
A,kaiim,1
A,kaiin,17
A,kain,2
A,kair,2
A,kal,2
A,kaldy,1
A,kalshey,1
A,kam,2
A,kan,1
A,kar,5
A,kary,1
A,kcck,1
A,kchaiin,3
A,kchain,1
A,kchal,1
A,kchaldy,1
A,kcham,1
A,kchar,2
A,kchdal,1
A,kchdol,1
A,kchdy,1
A,kcheals,1
A,kcheat,1
A,kcheed,1
A,kcheey,3
A,kcheodaiin,1
A,kcheol,5
A,kcheor,2
A,kchey,13
A,kcho,6
A,kchoan,1
A,kchoar,1
A,kchochaiin,1
A,kchod,3
A,kchodan,1
A,kchody,3
A,kchokchy,2
A,kchol,18
A,kcholy,1
A,kchom,2
A,kchor,19
A,kchorchor,1
A,kchorl,1
A,kchoror,1
A,kchos,3
A,kchoy,1
A,kchrrr,1
A,kchs,1
A,kchsy,1
A,kchy,26
A,kchydy,1
A,kdchody,1
A,kechy,2
A,keeaiin,1
A,keechy,1
A,keeees,1
A,keeeol,1
A,keeeos,1
A,keees,1
A,keeey,4
A,keem,1
A,keeo,6
A,keeod,1
A,keeodaiin,1
A,keeodol,1
A,keeody,3
A,keeokechy,1
A,keeol,6
A,keeor,4
A,keeos,2
A,keesy,1
A,keey,20
A,keo,2
A,keoar,1
A,keocthy,1
A,keodaiin,1
A,keodal,1
A,keodam,1
A,keody,4
A,keoky,1
A,keol,10
A,keolchey,1
A,keor,7
A,keos,1
A,ker,1
A,keshey,1
A,key,5
A,khey,2
A,khody,1
A,koaiin,2
A,koaiphhy,1
A,koair,1
A,koar,1
A,kocheor,1
A,kochky,1
A,kochor,1
A,kockhas,1
A,kod,2
A,kodaiin,3
A,kodalchy,1
A,kodam,1
A,koddy,1
A,kodl,1
A,kodshey,1
A,kodshol,1
A,kody,3
A,koeeorain,1
A,koees,1
A,koiin,4
A,kokaiin,2
A,koky,1
A,kol,27
A,kolcheey,1
A,kolches,1
A,koldaky,1
A,koldal,2
A,koldarod,1
A,koldy,3
A,koleearol,1
A,kolor,1
A,kolotam,1
A,kolschees,1
A,kolsho,1
A,koltoldy,1
A,koly,1
A,kolyky,1
A,kom,2
A,kooiin,2
A,kor,18
A,koraiin,2
A,korain,2
A,korare,1
A,korary,1
A,kory,1
A,kos,3
A,kosar,1
A,koshet,1
A,koshey,1
A,kosholda,1
A,kotchody,1
A,ksh,1
A,kshaiin,1
A,kshar,2
A,kshardy,1
A,ksheo,3
A,ksheodal,1
A,ksheodl,1
A,ksheody,3
A,ksheol,1
A,kshes,1
A,kshey,3
A,ksho,8
A,kshodaiin,1
A,kshody,3
A,kshol,2
A,ksholochey,1
A,kshor,2
A,kshotol,1
A,kshoy,1
A,kshy,4
A,ksor,1
A,ky,14
A,kydain,1
A,kydainy,1
A,kyty,1
A,l,9
A,laldan,1
A,lch,2
A,lchaiin,1
A,lchal,1
A,lchar,1
A,lchdy,1
A,lchedy,1
A,lcheody,1
A,lchey,1
A,lchody,1
A,lchol,2
A,lchor,1
A,ldain,1
A,ldals,1
A,ldy,3
A,lkaldy,1
A,lkeey,1
A,lkeo,1
A,lkeopol,1
A,lkody,1
A,lo,1
A,lochey,1
A,lodaly,1
A,lody,1
A,loeees,1
A,loiiin,2
A,lokaiin,1
A,lol,4
A,lolain,1
A,lolchor,1
A,lor,4
A,loralody,1
A,lory,1
A,los,1
A,loy,1
A,lpychol,1
A,ls,2
A,lsais,1
A,lseeey,1
A,lsho,1
A,lshody,1
A,lshy,2
A,ltcheody,1
A,ltchey,1
A,ly,2
A,m,4
A,mar,1
A,mol,1
A,n,3
A,o,37
A,oaiin,13
A,oaiir,2
A,oain,3
A,oair,1
A,oairar,1
A,oaithy,1
A,oal,1
A,oaldary,1
A,oaorar,1
A,oar,3
A,oaro,1
A,oc,1
A,ochaiin,1
A,ochaly,1
A,ochar,1
A,ochdy,1
A,ocheeky,1
A,ocheodaiin,1
A,ocheos,1
A,ochepchody,1
A,ochey,2
A,ochkchar,1
A,ocho,3
A,ochoaiin,1
A,ochockhy,1
A,ochody,1
A,ochoiky,1
A,ochokeey,1
A,ochol,3
A,ocholdy,1
A,ocholshod,1
A,ocholy,1
A,ochor,5
A,ochy,4
A,ockh,1
A,ockhey,4
A,ockhody,1
A,ockhoees,1
A,ockhol,1
A,ockhor,1
A,ockhy,5
A,ocphal,1
A,ocpheo,1
A,ocphoraiin,1
A,ocphy,1
A,oct,1
A,octhain,1
A,octham,1
A,octheody,1
A,octhey,1
A,octhodaly,1
A,octhody,2
A,octhol,1
A,octhos,2
A,octhy,2
A,od,4
A,odaidy,1
A,odaiiily,1
A,odaiil,1
A,odaiim,1
A,odaiin,27
A,odaiir,1
A,odain,3
A,odal,4
A,odalaly,1
A,odalar,1
A,odaldy,1
A,odalydary,1
A,odam,2
A,odan,2
A,odar,6
A,odariin,1
A,odchaiin,1
A,odchees,1
A,odchy,1
A,odeeeeodl,1
A,odeeeey,1
A,odeey,1
A,odeor,1
A,odey,1
A,odl,1
A,odoiin,1
A,odol,2
A,odor,3
A,odory,1
A,ods,1
A,odshchol,1
A,odshe,1
A,ody,12
A,odyd,1
A,oeeaiin,1
A,oeear,2
A,oeeees,1
A,oeeen,1
A,oeeeos,1
A,oeees,5
A,oeeesary,1
A,oeeesoy,1
A,oeeey,1
A,oeeo,2
A,oeeockhy,1
A,oeeor,2
A,oees,4
A,oeesody,1
A,oeesordy,1
A,oeey,1
A,oekeody,1
A,oekey,1
A,oekor,1
A,oeksa,1
A,oeo,1
A,oeoikhy,1
A,oeor,2
A,oepchksheey,1
A,oes,1
A,oesearees,1
A,oetalchg,1
A,ofadain,1
A,ofaiin,2
A,ofakal,1
A,ofal,1
A,ofaldo,1
A,ofaror,1
A,ofchar,2
A,ofchedol,1
A,ofcheol,1
A,ofchey,2
A,ofchol,1
A,ofchor,1
A,ofchory,1
A,ofchoshy,1
A,ofchy,1
A,oforain,1
A,ofychey,1
A,ofyskydal,1
A,oheekar,1
A,oiiin,2
A,oiin,14
A,oiir,2
A,oika,1
A,oin,1
A,oir,1
A,oishy,1
A,ok,3
A,oka,1
A,okachey,1
A,okadaiin,1
A,okai,1
A,okaiikhal,1
A,okaiin,35
A,okaiir,5
A,okain,7
A,okair,3
A,okal,29
A,okalal,2
A,okalar,1
A,okalchy,1
A,okald,1
A,okalda,1
A,okaldy,3
A,okalody,1
A,okalor,1
A,okalsalchey,1
A,okaly,5
A,okalys,1
A,okam,5
A,okan,2
A,okaor,1
A,okar,15
A,okary,3
A,okay,1
A,okchafdy,1
A,okchain,1
A,okchal,3
A,okchan,2
A,okchar,3
A,okche,1
A,okcheeg,1
A,okcheey,2
A,okcheod,1
A,okcheody,1
A,okcheol,1
A,okcheor,2
A,okchesy,1
A,okchey,13
A,okcho,4
A,okchochor,1
A,okchod,1
A,okchoda,1
A,okchodeey,1
A,okchodshy,1
A,okchody,2
A,okchokol,1
A,okchokshy,1
A,okchol,11
A,okchom,2
A,okchop,1
A,okchor,14
A,okchoy,1
A,okchshy,1
A,okchy,16
A,okeaiin,1
A,okeal,4
A,okeam,1
A,okear,2
A,okearcheol,1
A,okechod,1
A,okechy,1
A,okeeaiin,1
A,okeeam,1
A,okeedy,2
A,okeeeo,1
A,okeeeol,1
A,okeeey,7
A,okeeo,2
A,okeeodaiin,1
A,okeeody,3
A,okeeol,9
A,okeeom,1
A,okeeor,6
A,okeeoraiin,1
A,okeeos,1
A,okeeoy,1
A,okeer,1
A,okeey,32
A,okeo,3
A,okeoaiin,1
A,okeod,2
A,okeodaiin,1
A,okeodal,1
